"","m_list1","m_list2","m_list3","active"
"124","@drzhaoyongchen","ZHAO Yongchen","Diplomatic/Government",TRUE
"125","@emb_chinaven","Embajada de China en Venezuela","Diplomatic/Government",TRUE
"126","@embaixadachina","Embaixada da China no Brasil","Diplomatic/Government",TRUE
"127","@embajadachinaec","Embajada de la República Popular China en Ecuador","Diplomatic/Government",TRUE
"128","@embajadachinasv","Embajada de la República Popular China en SV","Diplomatic/Government",TRUE
"129","@embassy_chinese","中国驻汤加大使馆","Diplomatic/Government",TRUE
"130","@embchina_rs","Chinese Embassy in Serbia","Diplomatic/Government",TRUE
"131","@embchinacuba","Embajada de la República Popular China en Cuba","Diplomatic/Government",TRUE
"132","@embchinage","Embajada de China Malabo","Diplomatic/Government",TRUE
"133","@embzhangrun","Zhang Run","Diplomatic/Government",TRUE
"134","@fangyi85320692","Fang Yi","Diplomatic/Government",TRUE
"135","@fucong17","Fu Cong 傅聪","Diplomatic/Government",TRUE
"136","@generalkonsuldu","Generalkonsul Du Xiaohui","Diplomatic/Government",TRUE
"137","@indurban1","Feimingxing费明星","Diplomatic/Government",TRUE
"138","@juliojiangwei","姜伟 Jiang Wei🇨🇳","Diplomatic/Government",TRUE
"139","@li_baorong","Li Baorong","Diplomatic/Government",TRUE
"140","@li_xiaosi","Li Xiaosi","Diplomatic/Government",TRUE
"141","@libijian2","libijian李碧建","Diplomatic/Government",TRUE
"142","@LiuChan14790671","刘畅 Liu Chang","Diplomatic/Government",TRUE
"143","@liuhongyang4","Liu_Hongyang","Diplomatic/Government",TRUE
"144","@liyingzhu1","Ambassadeur 朱立英","Diplomatic/Government",TRUE
"145","@luisxu9","Luis Xu Tiefei 徐铁飞","Diplomatic/Government",TRUE
"146","@MahuiChina","MA Hui 马 辉","Diplomatic/Government",TRUE
"147","@mfa_china","Spokesperson发言人办公室","Diplomatic/Government",TRUE
"148","@oujianhong","Ou Jianhong","Diplomatic/Government",TRUE
